,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
46,1,0.7,1,M_M_N,2.3026032411160258,2.2688720685536046,2.336334413678447,10.662032234174708,36000,-6.7228985009499125,1.7822006989598687e-11
47,1,0.7,1,M_M_N,2.2949210656450134,2.2623448693239596,2.327497261966067,10.496886337843161,38000,-6.7228985009499125,1.7822006989598687e-11
48,1,0.7,1,M_M_N,1.7921302428403956,1.4380844782596034,2.1461760074211877,3.183761271563635,100,-6.7228985009499125,1.7822006989598687e-11
49,1,0.7,1,M_M_N,2.393479292322144,2.1624842666093316,2.6244743180349563,8.300485646050138,600,-6.7228985009499125,1.7822006989598687e-11
50,1,0.7,1,M_M_N,2.491805780380303,2.31177210280071,2.6718394579598956,8.417019749214937,1000,-6.7228985009499125,1.7822006989598687e-11
51,1,0.7,1,M_M_N,1.937242985139255,1.8585092527272191,2.0159767175512906,6.450933389697292,4000,-6.7228985009499125,1.7822006989598687e-11
52,1,0.7,1,M_M_N,1.9928276475969857,1.9292836192665321,2.0563716759274393,7.355312402140946,7000,-6.7228985009499125,1.7822006989598687e-11
53,1,0.7,1,M_M_N,1.9211954611194517,1.8697742707708946,1.9726166514680088,6.8814969568629225,10000,-6.7228985009499125,1.7822006989598687e-11
54,1,0.7,1,M_M_N,2.144260150552734,2.0944726829077314,2.1940476181977364,8.386994627590063,13000,-6.7228985009499125,1.7822006989598687e-11
55,1,0.7,1,M_M_N,2.1559816271666925,2.1109478729439313,2.2010153813894537,8.445675556130645,16000,-6.7228985009499125,1.7822006989598687e-11
56,1,0.7,1,M_M_N,2.1674282130485847,2.126013593891898,2.2088428322052716,8.482217926314956,19000,-6.7228985009499125,1.7822006989598687e-11
57,1,0.7,1,M_M_N,1.9211954611194517,1.8697742707708946,1.9726166514680088,6.8814969568629225,10000,-6.7228985009499125,1.7822006989598687e-11
58,1,0.7,1,M_M_N,2.1301288051539142,2.0785153150133264,2.181742295294502,8.320010953341505,12000,-6.7228985009499125,1.7822006989598687e-11
59,1,0.7,1,M_M_N,2.1718456733099574,2.1232991920096222,2.2203921546102925,8.587609072500404,14000,-6.7228985009499125,1.7822006989598687e-11
60,1,0.7,1,M_M_N,2.1559816271666925,2.1109478729439313,2.2010153813894537,8.445675556130645,16000,-6.7228985009499125,1.7822006989598687e-11
61,1,0.7,1,M_M_N,2.1595076711398957,2.117109982313511,2.2019053599662803,8.421748696071363,18000,-6.7228985009499125,1.7822006989598687e-11
62,1,0.7,1,M_M_N,2.176970668449456,2.136430824591544,2.217510512307368,8.555499835423108,20000,-6.7228985009499125,1.7822006989598687e-11
63,1,0.7,1,M_M_N,2.193189592699025,2.1545367921198717,2.231842393278178,8.55540633021088,22000,-6.7228985009499125,1.7822006989598687e-11
64,1,0.7,1,M_M_N,2.223249267234002,2.1860151720092857,2.2604833624587184,8.660697351666268,24000,-6.7228985009499125,1.7822006989598687e-11
65,1,0.7,1,M_M_N,2.2405871630159835,2.2043557023343867,2.2768186236975803,8.883997234259411,26000,-6.7228985009499125,1.7822006989598687e-11
66,1,0.7,1,M_M_N,2.2022353568698185,2.1679254403833053,2.236545273356332,8.579532471923844,28000,-6.7228985009499125,1.7822006989598687e-11
67,1,0.7,1,M_M_N,2.1990518180562106,2.1660528039346127,2.2320508321778085,8.503387245556912,30000,-6.7228985009499125,1.7822006989598687e-11
68,1,0.7,1,M_M_N,2.1990197049991513,2.1671491025875533,2.2308903074107493,8.460606297366192,32000,-6.7228985009499125,1.7822006989598687e-11
69,1,0.7,1,M_M_N,2.2138822635863593,2.182917426513999,2.2448471006587196,8.485733945534895,34000,-6.7228985009499125,1.7822006989598687e-11
70,1,0.7,1,M_M_N,2.2188745927699314,2.1887534854359254,2.2489957001039373,8.501958519542407,36000,-6.7228985009499125,1.7822006989598687e-11
71,1,0.7,1,M_M_N,2.216321873661432,2.1870819545317732,2.2455617927910905,8.456917261113643,38000,-6.7228985009499125,1.7822006989598687e-11
72,1,0.7,1,M_M_N,1.019736311927563,0.7872740050324555,1.2521986188226708,1.3725455797555455,100,-6.7228985009499125,1.7822006989598687e-11
73,1,0.7,1,M_M_N,1.7835179154449592,1.6102522797204926,1.9567835511694258,4.670067093453189,600,-6.7228985009499125,1.7822006989598687e-11
74,1,0.7,1,M_M_N,1.6967160042303582,1.5546203379820176,1.8388116704786988,5.243394153940799,1000,-6.7228985009499125,1.7822006989598687e-11
75,1,0.7,1,M_M_N,2.026059088504488,1.9378461440494026,2.114272032959573,8.097771447004018,4000,-6.7228985009499125,1.7822006989598687e-11
76,1,0.7,1,M_M_N,1.9735722850373847,1.9108004222675454,2.036344147807224,7.177639966968539,7000,-6.7228985009499125,1.7822006989598687e-11
77,1,0.7,1,M_M_N,2.166475383428309,2.111643913461867,2.2213068533947506,7.824533391729962,10000,-6.7228985009499125,1.7822006989598687e-11
78,1,0.7,1,M_M_N,2.2281492499706617,2.1778237743381124,2.278474725603211,8.569235272479236,13000,-6.7228985009499125,1.7822006989598687e-11
79,1,0.7,1,M_M_N,2.191975738151441,2.147498167727369,2.236453308575513,8.23834925223524,16000,-6.7228985009499125,1.7822006989598687e-11
80,1,0.7,1,M_M_N,2.2084435322066045,2.1676232092203893,2.2492638551928197,8.240526410661904,19000,-6.7228985009499125,1.7822006989598687e-11
81,1,0.7,1,M_M_N,2.166475383428309,2.111643913461867,2.2213068533947506,7.824533391729962,10000,-6.7228985009499125,1.7822006989598687e-11
82,1,0.7,1,M_M_N,2.2101260668471987,2.1581439198240027,2.2621082138703947,8.43928920247,12000,-6.7228985009499125,1.7822006989598687e-11
