,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
96,1,0.7,1,M_M_1_K,0.9388664520163497,0.6613502330400058,1.2163826709926935,1.956133219882588,100,-418.27171569323605,0.0
97,1,0.7,1,M_M_1_K,2.395033933737094,2.15994169791393,2.630126169560258,8.597552171400487,600,-418.27171569323605,0.0
98,1,0.7,1,M_M_1_K,2.3988656678650933,2.2181089423200646,2.579622393410122,8.484764075109332,1000,-418.27171569323605,0.0
99,1,0.7,1,M_M_1_K,2.015867331143967,1.9384473244574532,2.0932873378304806,6.2374530082964155,4000,-418.27171569323605,0.0
100,1,0.7,1,M_M_1_K,1.889790399467705,1.8329334744321777,1.9466473245032323,5.888685677257215,7000,-418.27171569323605,0.0
101,1,0.7,1,M_M_1_K,1.9674258936442577,1.9175747472879376,2.017277040000578,6.467686631891638,10000,-418.27171569323605,0.0
102,1,0.7,1,M_M_1_K,1.9568625541627402,1.9136113433582584,2.0001137649672223,6.32940419097429,13000,-418.27171569323605,0.0
103,1,0.7,1,M_M_1_K,1.9477222937602137,1.9091703537879612,1.9862742337324661,6.1894286575834245,16000,-418.27171569323605,0.0
104,1,0.7,1,M_M_1_K,1.9612018254975905,1.9257026963249764,1.9967009546702046,6.232144024203399,19000,-418.27171569323605,0.0
105,1,0.7,1,M_M_1_K,1.9674258936442577,1.9175747472879376,2.017277040000578,6.467686631891638,10000,-418.27171569323605,0.0
106,1,0.7,1,M_M_1_K,1.9834176901353449,1.9377417714414071,2.0290936088292826,6.515864220027579,12000,-418.27171569323605,0.0
107,1,0.7,1,M_M_1_K,1.9430812101547823,1.901870928759551,1.9842914915500136,6.188250871126688,14000,-418.27171569323605,0.0
108,1,0.7,1,M_M_1_K,1.9477222937602137,1.9091703537879612,1.9862742337324661,6.1894286575834245,16000,-418.27171569323605,0.0
109,1,0.7,1,M_M_1_K,1.9442880684813653,1.9081160182162227,1.9804601187465078,6.130052065158907,18000,-418.27171569323605,0.0
110,1,0.7,1,M_M_1_K,1.9472126013123976,1.9126894167605037,1.9817357858642914,6.204445067248635,20000,-418.27171569323605,0.0
111,1,0.7,1,M_M_1_K,1.968824295795741,1.9353917853736236,2.0022568062178583,6.400541029289156,22000,-418.27171569323605,0.0
112,1,0.7,1,M_M_1_K,1.9844770917331946,1.9521841645164066,2.0167700189499826,6.51457487099522,24000,-418.27171569323605,0.0
113,1,0.7,1,M_M_1_K,1.994138542370237,1.9631778209043733,2.0250992638361005,6.487223686647552,26000,-418.27171569323605,0.0
114,1,0.7,1,M_M_1_K,1.9659462865235344,1.9364277722117638,1.995464800835305,6.350578534487532,28000,-418.27171569323605,0.0
115,1,0.7,1,M_M_1_K,1.9523614599932009,1.9240543468614468,1.980668573124955,6.257216594185647,30000,-418.27171569323605,0.0
116,1,0.7,1,M_M_1_K,1.9773401556664418,1.9497420851894556,2.004938226143428,6.3442221220290405,32000,-418.27171569323605,0.0
117,1,0.7,1,M_M_1_K,1.978041414024678,1.9512793608566459,2.00480346719271,6.33856095432908,34000,-418.27171569323605,0.0
118,1,0.7,1,M_M_1_K,1.969417515785744,1.943456580662134,1.9953784509093542,6.315645983941409,36000,-418.27171569323605,0.0
119,1,0.7,1,M_M_1_K,1.9516385491222632,1.9265934902827286,1.9766836079617978,6.204458157554619,38000,-418.27171569323605,0.0
120,1,0.7,1,M_M_1_K,1.4570320340811833,1.136475384723299,1.7775886834390677,2.609944479156294,100,-418.27171569323605,0.0
121,1,0.7,1,M_M_1_K,1.5154781158500452,1.3786759581536976,1.6522802735463928,2.9112811059546098,600,-418.27171569323605,0.0
122,1,0.7,1,M_M_1_K,1.6114544368434172,1.496684440734099,1.7262244329527354,3.42064160764182,1000,-418.27171569323605,0.0
123,1,0.7,1,M_M_1_K,1.9138076994491842,1.8381864783407262,1.989428920557642,5.950976697069131,4000,-418.27171569323605,0.0
124,1,0.7,1,M_M_1_K,2.038430940090733,1.9781356355264537,2.098726244655012,6.622449013581338,7000,-418.27171569323605,0.0
125,1,0.7,1,M_M_1_K,2.126008329612971,2.074056324655233,2.1779603345707086,7.0243039510359315,10000,-418.27171569323605,0.0
126,1,0.7,1,M_M_1_K,2.159030235349317,2.1137937401443123,2.2042667305543215,6.9237948242798,13000,-418.27171569323605,0.0
127,1,0.7,1,M_M_1_K,2.088896714010055,2.0488482761397533,2.128945151880357,6.679273829895717,16000,-418.27171569323605,0.0
128,1,0.7,1,M_M_1_K,2.145202847306381,2.107590228627918,2.1828154659848438,6.996312898906905,19000,-418.27171569323605,0.0
129,1,0.7,1,M_M_1_K,2.126008329612971,2.074056324655233,2.1779603345707086,7.0243039510359315,10000,-418.27171569323605,0.0
130,1,0.7,1,M_M_1_K,2.1437049239271273,2.096535868168067,2.1908739796861876,6.948831942131183,12000,-418.27171569323605,0.0
131,1,0.7,1,M_M_1_K,2.1548211763232743,2.1113286552887605,2.198313697357788,6.892645077393947,14000,-418.27171569323605,0.0
132,1,0.7,1,M_M_1_K,2.088896714010055,2.0488482761397533,2.128945151880357,6.679273829895717,16000,-418.27171569323605,0.0
133,1,0.7,1,M_M_1_K,2.1340627620894397,2.095554455689138,2.1725710684897415,6.947471106480638,18000,-418.27171569323605,0.0
134,1,0.7,1,M_M_1_K,2.165440353477849,2.128302525632779,2.202578181322919,7.179831322348923,20000,-418.27171569323605,0.0
135,1,0.7,1,M_M_1_K,2.187536189715396,2.151935803919666,2.223136575511126,7.2575179276195145,22000,-418.27171569323605,0.0
136,1,0.7,1,M_M_1_K,2.1482389365877363,2.114524151169484,2.181953722005989,7.1008780149511885,24000,-418.27171569323605,0.0
137,1,0.7,1,M_M_1_K,2.1122606334805223,2.080177096704554,2.1443441702564905,6.966284440566567,26000,-418.27171569323605,0.0
138,1,0.7,1,M_M_1_K,2.1181813305982806,2.0872909975292893,2.149071663667272,6.954557183768044,28000,-418.27171569323605,0.0
139,1,0.7,1,M_M_1_K,2.1018202076389216,2.0720468843152084,2.131593530962635,6.922208152969396,30000,-418.27171569323605,0.0
140,1,0.7,1,M_M_1_K,2.086865548068375,2.0581221844891715,2.1156089116475787,6.88170605103411,32000,-418.27171569323605,0.0
141,1,0.7,1,M_M_1_K,2.0649900831030656,2.037324456302611,2.09265570990352,6.773807350932262,34000,-418.27171569323605,0.0
142,1,0.7,1,M_M_1_K,2.042318928303907,2.015654132019534,2.06898372458828,6.662752095649737,36000,-418.27171569323605,0.0
143,1,0.7,1,M_M_1_K,2.045209117261708,2.019162317687085,2.071255916836331,6.710710192336035,38000,-418.27171569323605,0.0
144,1,0.7,1,M_M_1_K,1.4022987151934947,1.1069790831103437,1.6976183472766457,2.2151662516730157,100,-418.27171569323605,0.0
145,1,0.7,1,M_M_1_K,1.5251215434055099,1.3822493765840465,1.6679937102269733,3.175363950327155,600,-418.27171569323605,0.0
146,1,0.7,1,M_M_1_K,1.4436940325059744,1.3315771393292897,1.555810925682659,3.264321681682693,1000,-418.27171569323605,0.0
147,1,0.7,1,M_M_1_K,2.0140833805068827,1.9363970287516832,2.0917697322620823,6.280443769984663,4000,-418.27171569323605,0.0
148,1,0.7,1,M_M_1_K,2.0358096742396925,1.9760795092744687,2.0955398392049163,6.498888191348626,7000,-418.27171569323605,0.0
149,1,0.7,1,M_M_1_K,2.021226323280417,1.9712327268860792,2.071219919674755,6.504702372419937,10000,-418.27171569323605,0.0
150,1,0.7,1,M_M_1_K,1.9904964256295525,1.947184006170804,2.033808845088301,6.347331478462413,13000,-418.27171569323605,0.0
