,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
88,1,0.95,1,M_M_N,13.714723785093527,13.11392524505724,13.54880441985237,13.880643150334684,171.9750353329496,24000
89,1,0.95,1,M_M_N,15.122527573006511,15.059198411925928,14.939471774122316,15.305583371890707,226.7794568097524,26000
90,1,0.95,1,M_M_N,14.897333332494092,14.952735330814116,14.722183996183697,15.072482668804488,223.58429387337674,28000
91,1,0.95,1,M_M_N,15.108557509715013,14.746625396797882,14.941680067495177,15.275434951934848,217.46296059348427,30000
92,1,0.95,1,M_M_N,15.081217533194296,14.576532756530188,14.921503247935819,15.240931818452774,212.47530720219757,32000
93,1,0.95,1,M_M_N,14.98449536085531,14.335409563446522,14.832113175040401,15.13687754667022,205.503967351754,34000
94,1,0.95,1,M_M_N,16.67965385623489,16.997679926755037,16.50406332618084,16.855244386288938,288.9211228924112,36000
95,1,0.95,1,M_M_N,16.564461419848964,16.73773560826676,16.39616811857915,16.732754721118777,280.15179329224105,38000
96,2,0.7,1,M_M_N,0.6083850908134592,0.8261558497372241,0.44445784664979315,0.7723123349771251,0.6825334880550349,100
97,2,0.7,1,M_M_N,1.1876102229794272,1.569238443820581,1.061793081054913,1.3134273649039414,2.4625092935644393,600
98,2,0.7,1,M_M_N,1.265597767792579,1.839835644547715,1.1514273452378776,1.3797681903472803,3.3849951989483062,1000
99,2,0.7,1,M_M_N,1.0508279093889885,1.7351712586719754,0.9970391030687781,1.104616715709199,3.0108192969212872,4000
100,2,0.7,1,M_M_N,1.0223616320937676,1.665961420214142,0.9833279858834973,1.061395278304038,2.775427453641921,7000
101,2,0.7,1,M_M_N,0.9879803370744692,1.5639283983477155,0.957324192847924,1.0186364813010145,2.445872035158451,10000
102,2,0.7,1,M_M_N,1.0971724861088794,1.6467965826324267,1.0688613816701331,1.1254835905476257,2.711938984569839,13000
103,2,0.7,1,M_M_N,1.1249116493267128,1.6649412944407795,1.0991116389090327,1.150711659744393,2.772029513934138,16000
104,2,0.7,1,M_M_N,1.0569274896740253,1.6008781397414398,1.0341630359430842,1.0796919434049663,2.562810818302013,19000
105,2,0.7,1,M_M_N,0.9879803370744692,1.5639283983477155,0.957324192847924,1.0186364813010145,2.445872035158451,10000
106,2,0.7,1,M_M_N,1.0828297190693104,1.6448673059936898,1.0533968806105019,1.1122625575281189,2.705588454326939,12000
107,2,0.7,1,M_M_N,1.0985826597274002,1.644520632871685,1.0713392820628158,1.1258260373919846,2.7044481119406876,14000
108,2,0.7,1,M_M_N,1.1249116493267128,1.6649412944407795,1.0991116389090327,1.150711659744393,2.772029513934138,16000
109,2,0.7,1,M_M_N,1.0697903532395,1.6139077906067198,1.046211658381908,1.0933690480970917,2.604698356581064,18000
110,2,0.7,1,M_M_N,1.0386887837670358,1.583327073862286,1.0167440651777337,1.0606335023563378,2.506924622825309,20000
111,2,0.7,1,M_M_N,1.0426721077193892,1.5927578717279103,1.0216241285215388,1.0637200869172396,2.536877637951222,22000
112,2,0.7,1,M_M_N,1.034326352093988,1.5745447406075996,1.0144049739388181,1.054247730249158,2.4791911401750535,24000
113,2,0.7,1,M_M_N,1.0196389051291765,1.5680844961669593,1.0005776674515827,1.0387001428067704,2.4588889871191864,26000
114,2,0.7,1,M_M_N,1.0233852019355845,1.5655521178408196,1.005047057888182,1.0417233459829869,2.4509534336758754,28000
115,2,0.7,1,M_M_N,1.0335358563322812,1.5791813749181434,1.015665344160407,1.0514063685041553,2.493813814888358,30000
