,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
119,2,0.7,1,M_D_N,0.49904523972457193,0.707232431036324,0.4919342132769208,0.5061562661722231,0.5001777115095489,38000
120,2,0.8,1,M_D_N,0.28641419718891403,0.3337299206396924,0.22019494061302153,0.35263345376480654,0.11137565993017541,100
121,2,0.8,1,M_D_N,0.5206497689255599,0.648598554900359,0.4686469539580319,0.5726525838930879,0.42068008541883395,600
122,2,0.8,1,M_D_N,0.6032623439435569,0.8144909051697059,0.5527193668652721,0.6538053210218417,0.663395434604167,1000
123,2,0.8,1,M_D_N,1.3578125898331437,2.009038109520467,1.2955341483116851,1.4200910313546022,4.036234125505572,4000
124,2,0.8,1,M_D_N,1.125333021921008,1.6733590192163403,1.0861260492106437,1.1645399946313724,2.8001304071926723,7000
125,2,0.8,1,M_D_N,1.067536296246892,1.54075003991675,1.0373344944951972,1.0977380979985867,2.3739106855034664,10000
126,2,0.8,1,M_D_N,0.9907891425088289,1.4172714972594846,0.9664239465883758,1.015154338429282,2.0086584969441414,13000
127,2,0.8,1,M_D_N,0.985623463353224,1.3586034303436088,0.9645704792189491,1.006676447487499,1.845803280941421,16000
128,2,0.8,1,M_D_N,0.9690723632719995,1.3088895191258245,0.950459981631342,0.987684744912657,1.713191773277432,19000
129,2,0.8,1,M_D_N,1.067536296246892,1.54075003991675,1.0373344944951972,1.0977380979985867,2.3739106855034664,10000
130,2,0.8,1,M_D_N,1.0201063236858645,1.4568133189093164,0.9940384755841629,1.046174171787566,2.1223050461515776,12000
131,2,0.8,1,M_D_N,0.9979343413151001,1.40089239937131,0.9747269458342213,1.0211417367959787,1.9624995146163058,14000
132,2,0.8,1,M_D_N,0.985623463353224,1.3586034303436088,0.9645704792189491,1.006676447487499,1.845803280941421,16000
133,2,0.8,1,M_D_N,0.9778203074014467,1.3240565520307759,0.9584762497073003,0.997164365095593,1.7531257529756266,18000
134,2,0.8,1,M_D_N,0.9907686008988712,1.332524227741287,0.9722999789230728,1.0092372228746695,1.7756208175175134,20000
135,2,0.8,1,M_D_N,0.9716155842640682,1.305035458349313,0.9543697996615447,0.9888613688665918,1.703117547549001,22000
136,2,0.8,1,M_D_N,0.9790477767876047,1.2927654784140412,0.962691512467356,0.9954040411078534,1.6712425821790846,24000
