n,rho,mu,type,mean_waiting_time,ci_lower,ci_upper,variance,runs
2,0.9,1,M_D_1,2.1542820178572706,2.149577427915207,2.158986607799334,6.21808683748617,10
2,0.9,1,M_D_1,2.1522210232157164,2.149354851515324,2.155087194916109,5.776268512247334,25
2,0.9,1,M_D_1,2.1484021612871285,2.146374400784693,2.1504299217895637,5.7806353816746325,50
2,0.9,1,M_D_1,2.1415441231215917,2.139895726136112,2.1431925201070716,5.7274353190314065,75
2,0.9,1,M_D_1,2.143262713602892,2.1418255115189013,2.1446999156868825,5.806548152811574,100
2,0.9,1,M_D_1,2.151666099070397,2.1503831242520706,2.152949073888723,5.78403896865218,125
2,0.9,1,M_D_1,2.1476144895806817,2.146440311584827,2.1487886675765364,5.813934772341073,150
4,0.9,1,M_D_1,0.988500832178633,0.9869421109764878,0.9900595533807783,1.3657262599474456,10
4,0.9,1,M_D_1,0.9979155535691687,0.9969043674117621,0.9989267397265753,1.4372024617361205,25
4,0.9,1,M_D_1,1.0038674669603007,1.0031557105330606,1.0045792233875408,1.4248096225780535,50
4,0.9,1,M_D_1,1.0048546041427655,1.0042677610289326,1.0054414472565985,1.4524007494745925,75
4,0.9,1,M_D_1,0.9946968749579227,0.9941961673351944,0.9951975825806509,1.4097957778591537,100
4,0.9,1,M_D_1,1.0076658197991222,1.0072097736827044,1.00812186591554,1.4620463534858754,125
4,0.9,1,M_D_1,0.9976382937134538,0.9972278861214277,0.99804870130548,1.4205144001618122,150
